Vuelta,Tiempo,Sector1,Sector2,Sector3,Piloto,TipoNeumatico,TempPista
1,95.342,31.245,30.521,33.576,Piloto1,Blando,28.5
2,94.789,30.912,30.289,33.588,Piloto1,Blando,28.7
3,94.656,30.845,30.234,33.577,Piloto1,Blando,28.8
4,94.892,30.967,30.312,33.613,Piloto1,Blando,29.0
5,94.546,31.034,30.445,33.644,Piloto1,Blando,29.2
6,95.445,31.156,30.567,33.722,Piloto1,Blando,29.3
7,95.789,31.234,30.789,33.766,Piloto1,Blando,29.4
8,96.123,31.445,30.876,33.802,Piloto1,Blando,29.5
9,96.445,31.567,30.967,33.911,Piloto1,Blando,29.6
10,96.789,31.678,31.123,33.988,Piloto1,Blando,29.7
1,94.234,30.789,30.123,33.322,Piloto2,Medio,29.8
2,94.445,30.845,30.234,33.366,Piloto2,Medio,29.8
12,94.567,30.912,30.267,33.388,Piloto2,Medio,29.9
14,94.789,30.967,30.345,33.477,Piloto2,Medio,30.0
15,95.123,31.123,30.445,33.555,Piloto2,Medio,30.1
